varName,varType,n,beta,lower,upper,pvalue
"5",CONTINUOUS,120/380(500),3.18943911658698,2.46928754995082,3.99516617340677,2.32981040891476e-16
"23",INTEGER,800/100(900),1.93633598767705,1.60360866435611,2.29882481880602,7.31196027630087e-28
"24",INTEGER,760/131(891),1.75433797759218,1.46468192507283,2.06597680366808,2.1798871836812e-30
"26",INTEGER,600/291(891),2.21647829260413,1.92186361168346,2.53418345127812,8.11560488921762e-46
"34",CAT-SIN,300/600(900),2.67342038082319,2.31959546662728,3.05528828132203,3.8648784862919e-46
"41#A1",CAT-MUL,516/14(530),-0.0923557834369904,-0.604318268636897,0.415860123576197,0.731283609278496
"41#A2",CAT-MUL,495/35(530),-1.2425018583858,-1.62960042688341,-0.887102760424099,4.02529697948036e-11
"41#A3",CAT-MUL,25/505(530),2.60299104913143,1.92190675044312,3.49344841921067,4.01993700982219e-11
"42#A1",CAT-MUL,986/14(1000),-0.742168551681469,-1.27958997966834,-0.210741328575727,0.00625348360881729
"42#A2",CAT-MUL,965/35(1000),-1.9048315094404,-2.41596033097747,-1.45191305152567,6.60365820215459e-15
"42#A3",CAT-MUL,495/505(1000),-2.53879885591663,-2.86719437561934,-2.23511475752686,5.60824611426453e-56
"43#A1",CAT-MUL,521/14(535),-0.118660670448729,-0.660567582659024,0.404639992765588,0.672574033804098
"43#A2",CAT-MUL,500/35(535),-1.34326623535089,-1.76166165073619,-0.959249118076131,3.96615578379204e-11
"43#A3",CAT-MUL,30/505(535),1.08228383424421,0.702061178293793,1.48159863585602,4.23835327740923e-08
"44#A1",CAT-MUL,516/14(530),-0.0923557834369904,-0.604318268636897,0.415860123576197,0.731283609278496
"44#A2",CAT-MUL,495/35(530),-1.2425018583858,-1.62960042688341,-0.887102760424099,4.02529697948036e-11
"44#A3",CAT-MUL,25/505(530),2.60299104913143,1.92190675044312,3.49344841921067,4.01993700982219e-11
